barrio,tipo_delito,timestamp,geometry,site,edge,lane
VILLA RIACHUELO,Lesiones Seg Vial,2017-10-31 00:00:00,POINT (-58.4744 -34.6859),CAÑADA DE GOMEZ 4855,61.4,0
VILLA RIACHUELO,Lesiones Seg Vial,2017-10-31 07:45:00,POINT (-58.4769 -34.6851),"BARROS PAZOS, JOSE 6394",1.5,0
MATADEROS,Lesiones Seg Vial,2017-10-31 14:00:00,POINT (-58.5126 -34.6594),"ALBERDI, JUAN BAUTISTA AV. 7044",44.3,0
NUEVA POMPEYA,Lesiones Seg Vial,2017-10-31 13:45:00,POINT (-58.4283 -34.6479),"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 1496",6.9,0
LINIERS,Lesiones Seg Vial,2017-10-31 16:00:00,POINT (-58.5171 -34.6404),OLIDEN 96,5.5,0
PARQUE PATRICIOS,Lesiones Seg Vial,2017-10-31 10:15:00,POINT (-58.3948 -34.6351),CASEROS AV. 2201,4.4,0
PARQUE PATRICIOS,Lesiones Seg Vial,2017-10-31 13:15:00,POINT (-58.3939 -34.6349),CASEROS AV. 2201,3.3,0
VELEZ SARSFIELD,Lesiones Seg Vial,2017-10-31 19:00:00,POINT (-58.4858 -34.6313),SEGUROLA AV. 276,22.7,0
PARQUE CHACABUCO,Lesiones Seg Vial,2017-10-31 14:00:00,POINT (-58.4265 -34.6289),LA PLATA AV. 1151,499.6,0
FLORESTA,Lesiones Seg Vial,2017-10-31 13:09:00,POINT (-58.475 -34.6285),BOGOTA 3202,0.9,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-10-31 16:25:00,POINT (-58.4077 -34.6273),ORURO 1411,1.6,0
SAN TELMO,Lesiones Seg Vial,2017-10-31 11:20:00,POINT (-58.3725 -34.6264),BOLIVAR 1578,32.5,0
BOEDO,Lesiones Seg Vial,2017-10-31 10:45:00,POINT (-58.4232 -34.6263),SAN JUAN AV. 4119,29.6,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-10-31 09:30:00,POINT (-58.4035 -34.6239),SAN JUAN AV. 2771,1.1,0
CONSTITUCION,Lesiones Seg Vial,2017-10-31 14:00:00,POINT (-58.3787 -34.6185),TACUARI 892,3.1,1
BALVANERA,Lesiones Seg Vial,2017-10-31 13:00:00,POINT (-58.4014 -34.6148),ALBERTI 425,40.7,0
BALVANERA,Lesiones Seg Vial,2017-10-31 19:17:00,POINT (-58.4081 -34.6148),BELGRANO AV. 2975,32.5,1
VILLA REAL,Lesiones Seg Vial,2017-10-31 16:55:00,POINT (-58.531 -34.6145),"PAZ, GRAL. AV. 8584",18.3,0
VILLA CRESPO,Lesiones Seg Vial,2017-10-31 18:15:00,POINT (-58.443 -34.6066),OLAYA 1115,1.9,0
VILLA DEVOTO,Lesiones Seg Vial,2017-10-31 17:00:00,POINT (-58.5049 -34.606),TINOGASTA 3995,2.3,0
ALMAGRO,Lesiones Seg Vial,2017-10-31 15:15:00,POINT (-58.4228 -34.606),"PERON, JUAN DOMINGO, TTE. GENERAL 3998",1.5,1
BALVANERA,Lesiones Seg Vial,2017-10-31 14:00:00,POINT (-58.4011 -34.6029),AZCUENAGA 536,60.2,0
ALMAGRO,Lesiones Seg Vial,2017-10-31 04:45:00,POINT (-58.4128 -34.6025),GALLO 687,1.2,0
VILLA CRESPO,Lesiones Seg Vial,2017-10-31 18:00:00,POINT (-58.4411 -34.6013),"SCALABRINI ORTIZ, RAUL AV. 104",0.7,1
ALMAGRO,Lesiones Seg Vial,2017-10-31 13:45:00,POINT (-58.427 -34.5981),ESTADO DE ISRAEL AV. 4334,45.3,0
RETIRO,Lesiones Seg Vial,2017-10-31 14:29:00,POINT (-58.3785 -34.5951),SANTA FE AV. 796,0.8,0
PALERMO,Lesiones Seg Vial,2017-10-31 12:45:00,POINT (-58.4292 -34.5948),CORDOBA AV. 4501,5.5,0
RECOLETA,Lesiones Seg Vial,2017-10-31 20:00:00,POINT (-58.4086 -34.5885),BILLINGHURST 1958,35.6,0
RECOLETA,Lesiones Seg Vial,2017-10-31 08:40:00,POINT (-58.3918 -34.5848),PUEYRREDON AV. 2595,8.3,1
PALERMO,Lesiones Seg Vial,2017-10-31 13:00:00,POINT (-58.4131 -34.5758),DEL LIBERTADOR AV. 3005,5.3,1
PALERMO,Lesiones Seg Vial,2017-10-31 10:00:00,POINT (-58.4335 -34.5716),ORTEGA Y GASSET 1960,66.0,0
BELGRANO,Lesiones Seg Vial,2017-10-31 19:00:00,POINT (-58.465 -34.5641),OLAZABAL 3103,2.6,0
COGHLAN,Lesiones Seg Vial,2017-10-31 13:00:00,POINT (-58.4731 -34.5619),"PEREZ, ROQUE 2811",13.2,0
BELGRANO,Lesiones Seg Vial,2017-10-31 08:10:00,POINT (-58.4573 -34.5597),VUELTA DE OBLIGADO 2290,12.1,0
BELGRANO,Lesiones Seg Vial,2017-10-31 13:00:00,POINT (-58.4509 -34.5571),ARRIBEÑOS 2215,4.9,0
BELGRANO,Lesiones Seg Vial,2017-10-31 10:00:00,POINT (-58.4565 -34.5524),11 DE SEPTIEMBRE DE 1888 2798,6.3,1
BELGRANO,Lesiones Seg Vial,2017-10-31 17:15:00,POINT (-58.4367 -34.5516),"FIGUEROA ALCORTA, PRES. AV. 6502",1.3,1
VILLA PUEYRREDON,Lesiones Seg Vial,2017-10-31 19:00:00,POINT (-58.4998 -34.5509),"BALBIN, RICARDO, DR. AV. 4950",3.6,0
VILLA LUGANO,Lesiones Seg Vial,2017-10-30 13:20:00,POINT (-58.4635 -34.6849),SOLDADO DE LA FRONTERA AV. 5204,25.1,0
VILLA LUGANO,Lesiones Seg Vial,2017-10-30 12:45:00,POINT (-58.4681 -34.6812),"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 5531",7.7,0
NUEVA POMPEYA,Lesiones Seg Vial,2017-10-30 14:15:00,POINT (-58.4257 -34.6582),MATANZA 3501,1.0,0
FLORES,Lesiones Seg Vial,2017-10-30 13:00:00,POINT (-58.432 -34.6512),"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 1911",3.1,0
PARQUE CHACABUCO,Lesiones Seg Vial,2017-10-30 21:10:00,POINT (-58.4375 -34.6473),"BONORINO, ESTEBAN, CNEL. AV. 2146",8.7,0
