name,category,bikecat,hood,bikelane,way,length,comerce,comerce_ratio,crash,geometry,x,y
11 DE SEPTIEMBRE DE 1888,0,0,BELGRANO,0,0,807.91,22,0.02723075590102858,0,"MULTILINESTRING ((-58.4455213310398 -34.5653407681365, -58.4463190122627 -34.5644083266015), (-58.4463190122627 -34.5644083266015, -58.4471153984528 -34.5634774992898), (-58.4471153984528 -34.5634774992898, -58.4479122777716 -34.562546032883), (-58.4532691108099 -34.5562239147216, -58.4533263178587 -34.5561705379113, -58.4533690533889 -34.5561260333389, -58.4535453608059 -34.5559205499103), (-58.4495343338742 -34.5606571007345, -58.4503490375659 -34.559710901354), (-58.4479122777716 -34.562546032883, -58.4485914716044 -34.5617520852244, -58.4487213145965 -34.5616012524313), (-58.4487213145965 -34.5616012524313, -58.4495343338742 -34.5606571007345))",-58.4482205089344,-34.56218567380406
11 DE SEPTIEMBRE DE 1888,0,0,NUÑEZ,0,0,1398.3199999999995,150,0.1072715830425082,3,"MULTILINESTRING ((-58.4564908820515 -34.5523264412928, -58.4572969253815 -34.551225260523), (-58.4572969253815 -34.551225260523, -58.4580524706342 -34.5501930173718), (-58.4580524706342 -34.5501930173718, -58.4585763021232 -34.5494772470632), (-58.4597098209598 -34.5479284456546, -58.460176171285 -34.5472912599656, -58.4602845228715 -34.5471434422033), (-58.4602845228715 -34.5471434422033, -58.4607598864696 -34.5464945639988, -58.4608518942816 -34.5463668867088), (-58.4585763021232 -34.5494772470632, -58.4591491527394 -34.5486945730845), (-58.4591491527394 -34.5486945730845, -58.4597098209598 -34.5479284456546), (-58.4620660134241 -34.5446939766541, -58.4624492615047 -34.544170727559, -58.4625881590091 -34.5439829773184), (-58.4625881590091 -34.5439829773184, -58.4631183808791 -34.5432662008873), (-58.4679305402506 -34.5364308687466, -58.468065149455 -34.5361000098777), (-58.463720507854 -34.5424522363118, -58.4638822078009 -34.5422336386217), (-58.4638822078009 -34.5422336386217, -58.4641688401557 -34.5418461624025), (-58.4631183808791 -34.5432662008873, -58.4635952323666 -34.5426216071143), (-58.4635952323666 -34.5426216071143, -58.463720507854 -34.5424522363118), (-58.4608518942816 -34.5463668867088, -58.4614281070255 -34.5455673703049), (-58.4614281070255 -34.5455673703049, -58.4615396033446 -34.545412649857, -58.4620660134241 -34.5446939766541))",-58.46053131263641,-34.54679400764108
11 DE SEPTIEMBRE DE 1888,0,0,NUÑEZ,0,1,695.3799999999999,101,0.1452443268428773,6,"MULTILINESTRING ((-58.4641688401557 -34.5418461624025, -58.4644298537087 -34.5414932640616), (-58.4644298537087 -34.5414932640616, -58.4646931628352 -34.5411373368707), (-58.4646931628352 -34.5411373368707, -58.4652690479938 -34.5403587881053), (-58.4675661881239 -34.5373263982183, -58.4679305402506 -34.5364308687466), (-58.4663910869165 -34.5388418247586, -58.4669602178343 -34.5380723526361), (-58.4669602178343 -34.5380723526361, -58.4675661881239 -34.5373263982183), (-58.4652690479938 -34.5403587881053, -58.4658472201171 -34.5395770673819), (-58.4658472201171 -34.5395770673819, -58.4663910869165 -34.5388418247586))",-58.46612992051983,-34.539181492671496
11 DE SEPTIEMBRE DE 1888,0,0,PALERMO,0,0,477.42,32,0.06702693645008588,2,"MULTILINESTRING ((-58.4421922005184 -34.5686200249939, -58.4429819573617 -34.5679984559553), (-58.4447265272056 -34.566269753974, -58.4455213310398 -34.5653407681365), (-58.4429819573617 -34.5679984559553, -58.4437449617913 -34.5674170191432), (-58.4437449617913 -34.5674170191432, -58.4447265272056 -34.566269753974))",-58.443935999583985,-34.56706336245356
11 DE SEPTIEMBRE DE 1888,0,0,PALERMO,0,1,337.89,32,0.0947053774897156,1,"MULTILINESTRING ((-58.4412271921472 -34.5693755741371, -58.4417340084508 -34.5689805861636, -58.4421922005184 -34.5686200249939), (-58.4395077137001 -34.5707047149304, -58.4401627101592 -34.5702010981709), (-58.4401627101592 -34.5702010981709, -58.4405421480583 -34.5699094029679, -58.4412271921472 -34.5693755741371))",-58.44085227020211,-34.56966534768998
11 DE SEPTIEMBRE DE 1888,0,2,BELGRANO,1,0,740.64,71,0.09586303737308274,2,"MULTILINESTRING ((-58.4511537600374 -34.5587882170468, -58.4520017136493 -34.5578132061807), (-58.4520017136493 -34.5578132061807, -58.452801887861 -34.5568931864136), (-58.4534933562924 -34.5558894182736, -58.4539169671813 -34.5553979614558), (-58.4557797412605 -34.5532265614114, -58.4564908820515 -34.5523264412928), (-58.4550417768263 -34.5540880125767, -58.4557797412605 -34.5532265614114), (-58.4539169671813 -34.5553979614558, -58.4543020946291 -34.5549510787872), (-58.4543020946291 -34.5549510787872, -58.4543739437685 -34.5548677018633, -58.4550417768263 -34.5540880125767))",-58.45394536184141,-34.555423410871335
12 DE OCTUBRE,0,0,PATERNAL,0,0,437.35,40,0.09145992911855493,2,"MULTILINESTRING ((-58.4703102046849 -34.6015418189333, -58.4704341557501 -34.6029371146199), (-58.4694030913492 -34.5991116891735, -58.4694539442006 -34.599248238057), (-58.4699084756075 -34.6004691487936, -58.4703102046849 -34.6015418189333), (-58.4694539442006 -34.599248238057, -58.4698561732187 -34.6003295015654, -58.4699084756075 -34.6004691487936))",-58.47003700544767,-34.60099762611858
14 DE JULIO,0,0,VILLA ORTUZAR,0,0,2203.47,198,0.08985826900298167,5,"MULTILINESTRING ((-58.4669579177008 -34.5905149557883, -58.4658914908078 -34.5895275717472), (-58.4658914908078 -34.5895275717472, -58.4657743156801 -34.5894191216001, -58.4649575895317 -34.5886570095203), (-58.4649575895317 -34.5886570095203, -58.464016299426 -34.587778763874), (-58.4620067655019 -34.5840010859522, -58.4619590148134 -34.5829086711017), (-58.4619590148134 -34.5829086711017, -58.4619111802325 -34.5818159743396), (-58.4620753720806 -34.5855694952675, -58.4620563901177 -34.5851344872598), (-58.4620563901177 -34.5851344872598, -58.4620067655019 -34.5840010859522), (-58.464016299426 -34.587778763874, -58.46308056395 -34.5869055813627), (-58.46308056395 -34.5869055813627, -58.4617567390358 -34.5856701976845), (-58.4625670148101 -34.5773729382492, -58.4632917402754 -34.5765570795929), (-58.4632917402754 -34.5765570795929, -58.4641228295114 -34.5756212971656), (-58.4653801892986 -34.5743784980495, -58.4654840556881 -34.5742771562021, -58.4662885855947 -34.5734812078571), (-58.4641228295114 -34.5756212971656, -58.4642299798868 -34.5755006469954), (-58.4642299798868 -34.5755006469954, -58.4653801892986 -34.5743784980495), (-58.4618155999941 -34.5796291716924, -58.461763687081 -34.5782773143496), (-58.461763687081 -34.5782773143496, -58.4625670148101 -34.5773729382492), (-58.4619111802325 -34.5818159743396, -58.4618632618078 -34.5807203899829), (-58.4618632618078 -34.5807203899829, -58.4618155999941 -34.5796291716924))",-58.46339214402438,-34.58210141029356
14 DE JULIO,0,1,PATERNAL,1,0,198.84000000000003,26,0.13075839871253267,1,"MULTILINESTRING ((-58.4677386323956 -34.590769370859, -58.4671182587955 -34.5903882585664), (-58.4688581294138 -34.5914570831878, -58.4682642299454 -34.5910922434383), (-58.4682642299454 -34.5910922434383, -58.4677386323956 -34.590769370859))",-58.46798819276183,-34.59092267306296
14 DE JULIO,0,1,PATERNAL,1,1,95.73383374179049,12,0.12534753420996306,0,"MULTILINESTRING ((-58.4696958481684 -34.5919716283278, -58.4694454767349 -34.5918178357789), (-58.4694454767349 -34.5918178357789, -58.4688581294138 -34.5914570831878))",-58.469276990787016,-34.591714352508355
